iter	Logloss
0	0.6617398843
1	0.629239839922	0.59729984883	0.5791089072
4	0.5553129641
5	0.5389841304
6	0.5234386151
7	0.5089857411
8	0.4945092819	9	0.4800524261010	0.4665962021111	0.4598455371212	0.4473470111313	0.4384075191414	0.4304868961515	0.4234685751616	0.4188871391717	0.4105670861818	0.4050163641919	0.3977566792020	0.3910816021	21	0.3841816522	22	0.3766826723	23	0.370358672424	0.3642025242525	0.3591543332626	0.3537950212727	0.3502459642828	0.345057766229	0.3402738903330	0.3362196479331	0.3312182663332	0.3277595279333	0.3235186947334	0.320176333
35	0.3169492907
36	0.3139671798
37	0.3102377568
38	0.3073838266
39	0.3042793088
40	0.3022481513
41	0.2998644971
42	0.2976042894343	0.2966579274444	0.2946578084545	0.2934674094646	0.290268893447	0.2866636244448	0.2832044054949	0.2818491925050	0.2805508705151	0.2772078375252	0.2752233415353	0.2722279605454	0.2697521164
55	0.2682106382
56	0.2668380519
57	0.26561075
58	0.2636981107
59	0.2630200177
60	0.2623456591
61	0.2605584504
62	0.2592762404
63	0.2578433095
64	0.2566180698
65	0.2554500934
66	0.2534704246
67	0.2523481762
68	0.2513173525
69	0.2497891525
70	0.2479625245
71	0.2464083356
72	0.2452149659
73	0.2431814572
74	0.2414342426
75	0.2411191541
76	0.2396930286
77	0.2393881913
78	0.2386817477
79	0.236460861
80	0.2338947203
81	0.2334827691
82	0.2322104159
83	0.2309682402
84	0.2306306526
85	0.2290015682
86	0.2285793898
87	0.2278149588
88	0.2258964222
89	0.2255579859
90	0.2246367284
91	0.2223580528
92	0.2212585821
93	0.2208770978
94	0.2200543081
95	0.2193752024
96	0.2189944543
97	0.2178669531
98	0.2176783894
99	0.2162057859
100	0.2156553041
101	0.2151681148
102	0.214936201
103	0.2130980085
104	0.2122785196
105	0.2106446901
106	0.2098196072
107	0.2090907896
108	0.2080403775
109	0.2077970103
110	0.2062371991
111	0.2054215376
112	0.2051533979
113	0.2048760512
114	0.2040750383
115	0.20301603
116	0.2027722056
117	0.2020798798
118	0.2017234974
119	0.2011879192
120	0.200636702
121	0.1996330743
122	0.1993305915
123	0.1986723346
124	0.1981050437
125	0.1976216877
126	0.1963395293
127	0.1957011643
128	0.1953917217
129	0.1946756082
130	0.1931960454
131	0.1929331849
132	0.1927464515
133	0.1925221608
134	0.1920064732
135	0.1914278273
136	0.1912431868
137	0.1899170076
138	0.1889069361
139	0.1876754852
140	0.1873264958
141	0.1871053598
142	0.1861890925
143	0.1854218682
144	0.1851396944
145	0.1836719131
146	0.1829115648
147	0.1822199576
148	0.1820229429
149	0.1817804858
150	0.1816115375
151	0.1807186176
152	0.1794808221
153	0.178769184
154	0.1785836652
155	0.1780533314
156	0.1778485442
157	0.1763951316
158	0.1754915133
159	0.1747739334
160	0.1743559725
161	0.1735313118
162	0.1722839057
163	0.1718857675
164	0.1711802033
165	0.1710495627
166	0.1708181159
167	0.1696503628
168	0.1695179875
169	0.1693627959
170	0.1684858045
171	0.1682725661
172	0.1678486771
173	0.1676983145
174	0.1665719531
175	0.1661846588
176	0.1657428496
177	0.1645888484
178	0.1637021253
179	0.1631768589
180	0.1627708263
181	0.1622059233
182	0.1618701603
183	0.1613912859
184	0.1610905161
185	0.1606885817
186	0.1604234422
187	0.1602402341
188	0.1598635905
189	0.1593138253
190	0.1588726382
191	0.1584528873
192	0.1582613213
193	0.1580213592
194	0.1578491678
195	0.157374912
196	0.1566686955
197	0.1563500321
198	0.1553577472
199	0.1547666769
200	0.1546097915
201	0.1543629925
202	0.1534609224
203	0.1531525337
204	0.152875768
205	0.1521019009
206	0.1515182106
207	0.1507551146
208	0.1501046434
209	0.1498354393
210	0.1488883237
211	0.1486186913
212	0.1483220241
213	0.1481221575
214	0.1475538272
215	0.1473828871
216	0.1467423387
217	0.1462901178
218	0.1456912925
219	0.1450423487
220	0.1446889232
221	0.1445795962
222	0.1443207672
223	0.1440763911
224	0.1438781627
225	0.1430043197
226	0.1423576287
227	0.1421379615
228	0.1414091909
229	0.1411532764
230	0.1406925353
231	0.1400926929
232	0.1394826353
233	0.1385136708
234	0.1381753585
235	0.1376711549
236	0.137253676
237	0.1368884761
238	0.1366524849
239	0.1364461377
240	0.1360199454
241	0.1359509361
242	0.1357715557
243	0.1356174204
244	0.1354393561
245	0.1349373921
246	0.1348787068
247	0.1343543945
248	0.1338003164
249	0.1333083992
250	0.1329331096
251	0.1325074609
252	0.1317033623
253	0.1310222428
254	0.1303591097
255	0.1297358378
256	0.129542888
257	0.12913349
258	0.1289001578
259	0.1287867973
260	0.1283244419
261	0.1281837767
262	0.1279968455
263	0.1275279853
264	0.1274739903
265	0.1269573302
266	0.1266255741
267	0.1260929025
268	0.1258241144
269	0.1254246282
270	0.1248607469
271	0.1239394003
272	0.1235677808
273	0.1234156752
274	0.1231534951
275	0.1231075069
276	0.1229345863
277	0.1228700865
278	0.1226878454
279	0.1225010183
280	0.1224521361
281	0.1222520889
282	0.122074904
283	0.1218914983
284	0.1212982999
285	0.1206859387
286	0.1199575897
287	0.1192975368
288	0.1187721675
289	0.1186575903
290	0.1183090856
291	0.1181257002
292	0.1178206938
293	0.1173864244
294	0.1171965652
295	0.1169679458
296	0.116823363
297	0.1161790132
298	0.1158246999
299	0.1155431591
300	0.1153785854
301	0.1152337351
302	0.1146657488
303	0.1140182655
304	0.1138036693
305	0.1136660796
306	0.1133666631
307	0.1131367243
308	0.1129687832
309	0.1128421855
310	0.1127154184
311	0.1124546781
312	0.1122674865
313	0.1121028271
314	0.1118163167
315	0.1116376902
316	0.1114999829
317	0.1111027735
318	0.1107577337
319	0.110632299
320	0.1100566056
321	0.1099035672
322	0.1095579777
323	0.1095243127
324	0.1093556327
325	0.1092417913
326	0.1087762739
327	0.1085651989
328	0.1082472369
329	0.1081197697
330	0.1077865864
331	0.107642262
332	0.1072295538
333	0.1071971103
334	0.1065112367
335	0.1063898408
336	0.1062844255
337	0.1061137666
338	0.1057172012
339	0.1056473548
340	0.1056214462
341	0.1054897894
342	0.1052871019
343	0.1051036427
344	0.1047257749
345	0.104616644
346	0.104429424
347	0.1043181333
348	0.1039694656
349	0.103868963
350	0.1036859244
351	0.1035056209
352	0.1028174043
353	0.1027020619
354	0.1023769168
355	0.102247923
356	0.1018009725
357	0.1016136952
358	0.1014074966
359	0.1009742163
360	0.1008494254
361	0.1006523582
362	0.1005171082
363	0.1003999913
