iter	Passed	Remaining
0	244	12208111	483	12039222	719	11923	33	1124	13944044	1409	13958255	1767	14554166	2136	15046477	2568	15797088	3062	16705499	4069	199405110	7065	314073
11	9591	390037
12	11752	440262
13	12691	440559
14	13089	423228
15	13387	404974
16	13799	392082
17	14129	378349
18	14439	365535
19	14853	356492
20	15237	347570
21	15573	338367
22	15988	331588
23	16294	323176
24	16647	316305
25	17008	310071
26	17284	302805
27	17603	296752
28	18034	292906
29	18327	287133
30	18698	282892
31	19057	278714
32	19409	274668
33	20794	285011
34	23399	310883
35	25825	332862
36	28037	350841
37	28912	351520
38	29290	346226
39	29695	341495
40	30094	336915
41	30392	331419
42	30777	327096
43	31094	322250
44	31424	317734
45	31720	313068
46	32115	309537
47	32448	305555
48	32753	301468
49	33102	297926
50	33488	294828
51	33956	292551
52	34355	289753
53	34708	286664
54	35108	284057
55	35521	281631
56	35965	279522
57	36336	276909
58	36721	274475
59	37103	272092
60	37438	269432
61	38278	270415
62	40459	280645
63	43530	296549
64	46208	309239
65	47219	310505
66	47605	307660
67	47899	304301
68	48199	301070
69	48622	298683
70	48995	296045
71	49302	293075
72	49708	290762
73	50060	288186
74	50516	286259
75	51093	285049
76	51493	282877
77	51810	280306
78	52127	277791
79	52450	275363
80	52922	273760
81	53366	272040
82	53770	270146
83	54180	268320
84	54624	266693
85	54971	264630
86	56614	268758
87	59222	277269
88	61598	284462
89	64121	292110
90	64587	290289
91	64901	287822
92	65296	285759
93	65682	283691
94	66019	281451
95	66419	279513
96	66863	277792
97	67234	275799
98	67568	273687
99	67923	271694
100	68319	269895
101	68678	267981
102	68917	265633
103	69343	264040
104	69654	262033
105	70059	260409
106	70454	258771
107	70849	257157
108	71173	255311
109	71523	253584
110	71978	252248
111	72306	250491
112	74987	256814
113	77351	261910
114	79583	266431
115	81519	269856
116	81913	268145
117	82307	266454
118	82711	264816
119	83132	263252
120	83486	261499
121	83825	259722
122	84242	258205
123	84545	256363
124	84884	254653
125	85159	252776
126	85469	251025
127	85787	249318
128	86067	247527
129	86381	245854
130	86738	244324
131	87006	242562
132	87298	240890
133	87590	239239
134	87888	237625
135	88143	235914
136	88418	234277
137	88677	232616
138	89011	231173
139	89298	229625
140	89612	228162
141	89786	226363
142	90059	224833
143	90319	223289
144	90550	221691
145	91776	222525
146	93472	224460
147	94742	225334
148	95914	225946
149	97422	227318
150	98584	227854
151	99750	228376
152	99946	226676
153	100128	224963
154	100317	223287
155	100495	221606
156	100649	219890
157	100860	218319
158	101028	216670
159	101203	215057
160	101426	213561
161	101593	211967
162	101799	210468
163	101953	208881
164	102106	207307
165	102297	205827
166	102485	204356
167	102694	202943
168	102905	201549
169	103053	200045
170	103217	198588
171	103377	197139
172	103550	195728
173	103720	194327
174	103877	192914
175	104085	191611
176	104232	190208
177	104452	188953
178	104651	187670
179	104847	186395
180	105009	185072
181	105215	183838
182	105402	182582
183	105579	181320
184	105722	180014
185	105900	178777
186	106141	177658
187	106323	176451
188	106548	175326
189	106723	174127
190	106892	172930
191	107084	171780
192	107277	170643
193	107515	169585
194	107691	168440
195	108011	167528
196	109451	168344
197	111026	169343
198	113124	171107
199	114515	171772
200	116041	172618
201	117064	172698
202	117260	171559
203	117415	170368
204	117604	169235
205	117767	168075
206	117950	166954
207	118143	165855
208	118300	164715
209	118495	163636
210	118601	162445
211	118735	161300
212	118854	160146
213	119030	159077
214	119214	158028
215	119353	156927
216	119532	155888
217	119711	154856
218	119893	153835
219	120060	152804
220	120287	151855
221	120451	150835
222	120547	149738
223	120740	148769
224	120937	147812
225	121142	146872
226	121319	145904
227	121462	144902
228	121619	143925
229	121758	142933
230	121941	142001
231	122167	141124
232	122368	140225
233	122483	139233
234	122629	138283
235	122747	137310
236	122891	136372
237	123007	135411
238	123123	134457
239	123301	133576
240	123441	132660
241	123595	131767
242	123771	130902
243	123956	130052
244	124656	129744
245	125951	130047
246	127135	130224
247	128568	130642
248	130076	131120
249	131662	131662
250	133116	132056
251	133427	131310
252	133634	130464
253	133795	129581
254	134050	128793
255	134232	127940
256	134381	127061
257	134547	126203
258	134769	125403
259	134940	124560
260	135145	123753
261	135298	122905
262	135443	122054
263	135654	121267
264	135886	120503
265	136035	119670
266	136189	118846
267	136317	118006
268	136503	117220
269	136634	116392
270	136807	115604
271	136983	114824
272	137114	114011
273	137253	113208
274	137424	112438
275	137564	111646
276	137755	110900
277	137895	110117
278	138053	109354
279	138210	108593
280	138331	107810
281	138472	107046
282	138582	106263
283	138750	105528
284	138890	104776
285	139026	104027
286	139206	103313
287	139356	102581
288	139530	101871
289	139677	101145
290	139844	100437
291	139982	99713
292	140147	99012
293	140259	98276
294	140411	97573
295	140567	96877
296	140692	96163
297	140826	95459
298	141051	94820
299	141199	94133
300	141704	93684
301	142916	93700
302	144216	93764
303	145349	93712
304	146521	93677
305	147471	93495
306	148492	93352
307	149548	93224
308	150470	93009
309	150639	92327
310	150811	91650
311	150966	90967
312	151158	90308
313	151379	89670
314	151559	89011
315	151768	88371
316	151948	87718
317	152190	87102
318	152339	86437
319	152528	85797
320	152687	85143
321	152816	84476
322	152974	83827
323	153129	83181
324	153320	82557
325	153559	81961
326	153769	81351
327	153920	80714
328	154123	80106
329	154256	79465
330	154383	78824
331	154469	78165
332	154580	77522
333	154693	76883
334	154800	76245
335	154912	75612
336	155005	74972
337	155126	74350
338	155229	73722
339	155290	73077
340	155368	72444
341	155509	71843
342	155591	71218
343	155679	70598
344	155744	69972
345	155812	69350
346	155886	68733
347	155990	68133
348	156056	67520
349	156123	66910
350	156186	66301
351	156249	65695
352	156338	65104
353	156405	64506
354	156463	63907
355	156518	63310
356	156608	62731
357	156734	62168
358	156819	61592
359	156909	61020
360	157021	60459
361	157105	59891
362	157268	59354
363	157354	58791
364	157425	58225
365	157531	57675
366	157615	57119
367	157675	56557
368	157742	56000
369	157818	55449
370	157880	54896
371	157950	54348
372	158012	53800
373	158073	53254
374	158127	52709
375	158188	52168
376	158257	51633
377	158336	51103
378	158403	50572
379	158468	50042
380	158522	49512
381	158580	48985
382	158640	48462
383	158696	47939
384	158757	47420
385	158811	46903
386	158884	46392
387	158944	45880
388	159005	45371
389	159060	44863
390	159118	44357
391	159187	43857
392	159250	43358
393	159313	42860
394	159375	42365
395	159430	41870
396	159490	41379
397	159548	40889
398	159616	40404
399	159674	39918
400	159736	39436
401	159796	38955
402	159854	38476
403	159913	37999
404	159971	37524
405	160025	37050
406	160085	36579
407	160145	36111
408	160199	35643
409	160257	35178
410	160315	34715
411	160363	34252
412	160419	33792
413	160484	33337
414	160546	32883
415	160889	32487
416	161232	32091
417	161729	31726
418	162178	31351
419	162589	30969
420	162963	30579
421	163363	30195
422	163780	29813
423	164213	29434
424	164716	29067
425	165190	28695
426	165637	28317
427	166164	27952
428	166651	27581
429	167113	27204
430	167595	26830
431	168151	26468
432	168693	26102
433	169245	25737
434	169731	25362
435	169810	24926
436	169887	24491
437	169952	24057
438	170011	23623
439	170092	23194
440	170166	22766
441	170223	22337
442	170288	21910
443	170353	21486
444	170427	21064
445	170494	20642
446	170558	20222
447	170619	19804
448	170688	19387
449	170765	18973
450	170835	18560
451	170903	18149
452	170969	17738
453	171027	17328
454	171093	16921
455	171177	16517
456	171254	16113
457	171329	15711
458	171383	15308
459	171453	14908
460	171496	14508
461	171545	14109
462	171588	13712
463	171631	13316
464	171675	12921
465	171723	12529
466	171765	12137
467	171803	11747
468	171837	11358
469	171875	10970
470	171921	10585
471	171970	10201
472	172016	9819
473	172057	9437
474	172092	9057
475	172117	8678
476	172141	8300
477	172166	7923
478	172193	7549
479	172219	7175
480	172243	6803
481	172269	6433
482	172293	6064
483	172318	5696
484	172343	5330
485	172367	4965
486	172391	4601
487	172414	4239
488	172437	3878
489	172463	3519
490	172488	3161
491	172513	2805
492	172541	2449
493	172564	2095
494	172591	1743
495	172617	1392
496	172644	1042
497	172669	693
498	172697	346
499	172721	0
